Country,observedPropertyDeterminandLabel,phenomenonTimeReferenceYear,resultMeanValue
Belgium,Ammonium,2009,0.0135
Netherlands,Nitrate,2005,61.49
Bulgaria,Ammonium,2003,0.097
Finland,Nitrate,2010,7.02
Sweden,Nitrate,2004,1.39
Bulgaria,Nitrite,2003,0.009
Romania,Nitrite,2015,0.03
Romania,Dissolved oxygen,2015,5.7
Romania,Dissolved oxygen,2015,3.39
Finland,Dissolved oxygen,2010,1.2
Romania,Nitrate,2015,5.7525
Hungary,Nitrate,2000,0.4382
Hungary,Nitrate,2002,0.6041
Belgium,Ammonium,2008,0.013
Belgium,Ammonium,2012,0.0483
Hungary,Nitrite,2002,0.0323
Finland,Dissolved oxygen,2002,9.2
Finland,Ammonium,2004,0.0052
Bulgaria,Ammonium,2000,0.006
Romania,Ammonium,2015,3.82075
Finland,Nitrate,2006,0.2
Sweden,Nitrate,2006,1.2434
Finland,Dissolved oxygen,2004,9.63
Belgium,Nitrite,2007,0.0361
Romania,Nitrite,2015,0.03
Romania,Dissolved oxygen,2015,4.08
Hungary,Nitrite,2004,0.0002
Romania,Nitrite,2007,0.95
Finland,Dissolved oxygen,2010,9.45
Finland,Dissolved oxygen,2012,10.0
Spain,Nitrite,2009,0.01
Belgium,Nitrite,2003,0.011
Turkey,Nitrite,2007,0.0108
Turkey,Nitrite,2009,0.022
Finland,Nitrate,2007,0.2
Hungary,Nitrate,2005,1.0939
Belgium,Nitrate,2009,30.6562
Bulgaria,Nitrate,2001,22.175
Hungary,Ammonium,2000,0.3337
Bulgaria,Ammonium,2000,0.06
Romania,Ammonium,2015,0.275
Belgium,Ammonium,2007,0.0142
Belgium,Nitrate,2008,29.471
Finland,Nitrate,2012,33.08
Netherlands,Nitrate,2007,46.91
Romania,Nitrate,2007,3.08
Romania,Nitrate,2011,0.244
Finland,Dissolved oxygen,2006,9.2
Finland,Dissolved oxygen,2009,9.0
Finland,Dissolved oxygen,2012,8.54
Turkey,Nitrite,2005,0.005
Romania,Nitrite,2015,0.0775
Romania,Dissolved oxygen,2015,4.88
Romania,Nitrite,2015,0.01505
Belgium,Nitrite,2002,0.008
Turkey,Nitrite,2006,0.005
Finland,Dissolved oxygen,2010,10.5
Belgium,Ammonium,2007,0.0158
Finland,Ammonium,2011,5.647
Belgium,Ammonium,2002,0.044
Romania,Nitrate,2006,2.392
Finland,Nitrate,2000,0.24
Belgium,Nitrate,2006,36.3373
Belgium,Nitrate,2002,26.676
Netherlands,Nitrate,2008,39.69
Hungary,Nitrate,2002,3.7779
Hungary,Nitrate,2004,1.825
Romania,Nitrate,2015,0.9
Belgium,Nitrate,2000,18.316
Finland,Ammonium,2011,0.002
Belgium,Nitrite,2011,0.01
Belgium,Nitrite,2010,0.01
Romania,Nitrite,2015,0.0345692307692307
Romania,Dissolved oxygen,2015,3.66
Romania,Nitrite,2015,0.0218153846153846
Finland,Dissolved oxygen,2001,9.6
Romania,Nitrite,2006,0.017
Finland,Nitrite,2009,0.0016
Finland,Nitrite,2011,0.002
Finland,Dissolved oxygen,2010,8.26
Romania,Nitrite,2007,0.002
Bulgaria,Dissolved oxygen,2002,5.619
Romania,Dissolved oxygen,2015,4.35714285714286
Belgium,Nitrite,2009,0.0107
Romania,Nitrate,2015,0.296125
Netherlands,Nitrate,2001,43.1
Netherlands,Nitrate,2003,55.72
Finland,Nitrate,2007,1.16
Romania,Ammonium,2015,0.351666666666667
Romania,Ammonium,2006,0.096
Romania,Ammonium,2007,1.36
Finland,Nitrate,2002,0.257
Finland,Nitrate,2004,0.17
Romania,Nitrate,2015,0.7315
Hungary,Nitrate,2001,0.5317
Netherlands,Nitrate,2004,61.41
Netherlands,Nitrate,2006,65.13
Romania,Nitrate,2008,0.1215
Romania,Ammonium,2015,3.18714285714286
Romania,Ammonium,2015,0.666114285714285
Belgium,Nitrate,2007,42.6964
Belgium,Nitrate,2009,27.7717
Hungary,Nitrate,2002,1.3786
Finland,Nitrite,2010,0.0029
Romania,Nitrite,2009,0.007
Romania,Dissolved oxygen,2007,2.033
Belgium,Ammonium,2000,0.034
Belgium,Ammonium,2006,0.01
Romania,Ammonium,2008,0.892
Romania,Ammonium,2015,0.262607692307692
Hungary,Ammonium,2005,0.2948
Romania,Nitrate,2008,9.086
Finland,Nitrate,2011,1.93
Hungary,Nitrate,2000,2.0468
Hungary,Nitrate,2002,2.0077
Romania,Nitrate,2015,1.0
Finland,Nitrate,2004,0.22
Belgium,Nitrate,2008,28.826
Romania,Nitrate,2015,42.0068285714286
Belgium,Nitrate,2007,22.2665
Finland,Nitrate,2010,28.61
Romania,Nitrate,2007,16.558
Hungary,Nitrate,2003,1.603
Finland,Nitrate,2011,43.29
Finland,Nitrate,2010,0.66
Finland,Nitrate,2012,5.05
Hungary,Nitrate,2001,2.3659
Romania,Dissolved oxygen,2009,2.2
Romania,Nitrite,2006,0.1
Finland,Nitrite,2012,0.0125
Finland,Nitrite,2010,0.0016
Luxembourg,Nitrate,2008,37.815
Finland,Nitrate,2009,0.17
Finland,Nitrate,2010,0.44
Romania,Nitrate,2011,11.572
Spain,Nitrate,2010,126.5
Netherlands,Nitrate,2000,23.12
Netherlands,Nitrate,2002,33.31
Finland,Nitrite,2012,0.0016
Finland,Nitrite,2012,0.0033
Romania,Nitrite,2008,0.0195
Netherlands,Nitrate,2002,58.28
Netherlands,Nitrate,2009,62.5
Finland,Nitrate,2001,0.092
Romania,Nitrate,2007,20.96
Romania,Nitrate,2008,7.39
Luxembourg,Nitrite,2004,0.025
Finland,Dissolved oxygen,2010,8.18
Finland,Nitrite,2012,0.0016
Romania,Ammonium,2006,2.29
Romania,Ammonium,2008,0.599
Finland,Nitrite,2009,0.0016
Romania,Dissolved oxygen,2011,3.65
Finland,Dissolved oxygen,2011,3.1
Finland,Nitrite,2012,0.0049
Finland,Nitrite,2011,0.005
Finland,Nitrate,2012,0.19
Turkey,Nitrate,2007,17.5875
Hungary,Nitrate,2004,1.8326
Finland,Nitrate,2012,0.02
Romania,Nitrate,2010,24.202
Finland,Dissolved oxygen,2012,2.55
Belgium,Ammonium,2011,0.09
Romania,Ammonium,2015,0.28625
Hungary,Nitrite,2000,0.018
Luxembourg,Ammonium,2007,0.025
Hungary,Nitrite,2002,0.0264
Hungary,Nitrate,2000,0.1966
Hungary,Nitrite,2003,0.0049
Finland,Dissolved oxygen,2000,9.5
Luxembourg,Ammonium,2003,0.025
Finland,Ammonium,2011,0.002
Finland,Ammonium,2011,0.001
Belgium,Nitrate,2004,19.082
Belgium,Nitrate,2003,19.377
Spain,Ammonium,2007,0.023
Belgium,Nitrate,2001,28.546
Romania,Ammonium,2011,0.46
Hungary,Ammonium,2001,0.309
Romania,Ammonium,2015,0.391638461538461
Romania,Ammonium,2015,3.59314
Spain,Ammonium,2012,25.0
Hungary,Ammonium,2004,0.4481
Finland,Ammonium,2012,0.0144
Finland,Nitrite,2011,0.003
Luxembourg,Nitrite,2008,0.05
Romania,Dissolved oxygen,2006,5.452
Romania,Nitrite,2007,0.009
Romania,Nitrite,2009,0.015
Hungary,Nitrite,2001,0.0204
Hungary,Nitrite,2003,0.0247
Romania,Ammonium,2009,0.008
Hungary,Nitrite,2000,0.0163
Hungary,Nitrite,2000,0.0061
Hungary,Nitrite,2002,0.0032
Hungary,Nitrite,2005,0.0155
Finland,Dissolved oxygen,2010,10.8
Sweden,Ammonium,2002,0.02
Hungary,Ammonium,2002,0.2416
Romania,Nitrite,2008,12.488
Romania,Nitrite,2011,0.041
Luxembourg,Ammonium,2005,0.025
Romania,Ammonium,2007,0.424
Finland,Dissolved oxygen,2003,9.4
Romania,Nitrite,2009,0.026
Romania,Nitrite,2010,0.017
Romania,Ammonium,2008,7.116
Belgium,Ammonium,2001,0.01
Romania,Dissolved oxygen,2011,6.38
Romania,Dissolved oxygen,2007,4.266
Romania,Nitrite,2006,0.884
Finland,Ammonium,2011,0.005
Finland,Dissolved oxygen,2012,0.24
Hungary,Nitrite,2000,0.0003
Finland,Dissolved oxygen,2010,8.6
Romania,Nitrite,2009,0.025
Belgium,Nitrite,2011,0.01
Romania,Nitrite,2015,0.25
Romania,Dissolved oxygen,2015,4.86
Romania,Nitrite,2011,0.007
Romania,Dissolved oxygen,2008,2.6
Finland,Dissolved oxygen,2011,9.6
Finland,Dissolved oxygen,2011,8.6
Spain,Nitrite,2012,5.0
Hungary,Ammonium,2004,0.6399
Belgium,Ammonium,2004,0.012
Finland,Ammonium,2003,0.049
Romania,Nitrate,2009,14.3
Romania,Nitrate,2007,8.32
Hungary,Nitrate,2001,0.3253
Spain,Nitrite,2007,0.022
Hungary,Nitrite,2001,0.0101
Romania,Nitrite,2015,0.03744
Belgium,Nitrite,2004,0.007
Romania,Dissolved oxygen,2008,6.17
Romania,Dissolved oxygen,2010,6.732
Romania,Nitrite,2011,0.03
Romania,Ammonium,2010,0.884
Hungary,Ammonium,2001,0.5637
Hungary,Ammonium,2003,0.7392
Hungary,Nitrate,2003,0.2355
Turkey,Nitrate,2006,10.3333
Finland,Nitrate,2006,0.43
Romania,Nitrate,2009,14.4
Hungary,Nitrate,2001,3.5195
Finland,Nitrate,2001,0.182
Finland,Nitrate,2008,0.96
Netherlands,Nitrate,2003,13.85
Netherlands,Nitrate,2000,69.7
Netherlands,Nitrate,2004,12.12
Romania,Nitrate,2006,26.16
Belgium,Nitrate,2012,40.39
Finland,Nitrate,2003,1.06
Romania,Nitrate,2015,0.74
Belgium,Nitrate,2004,23.063
Sweden,Ammonium,2004,0.009
Hungary,Nitrate,2004,0.3444
Romania,Ammonium,2011,0.24
Sweden,Ammonium,2000,0.0055
Belgium,Ammonium,2007,0.0213
Hungary,Nitrate,2003,0.3555
Finland,Nitrate,2011,0.13
Turkey,Nitrate,2009,11.067
Belgium,Ammonium,2007,0.0235
Romania,Ammonium,2015,1.5875
Hungary,Nitrate,2005,0.5909
Finland,Nitrate,2011,0.31
Romania,Nitrate,2006,5.405
Hungary,Nitrate,2005,2.1424
Romania,Nitrate,2010,4.994
Romania,Nitrate,2010,1.454
Belgium,Nitrate,2005,24.55
Belgium,Nitrate,2007,20.0959
Spain,Nitrate,2007,6.0
Sweden,Ammonium,2006,0.008
Finland,Ammonium,2010,0.0032
Belgium,Nitrate,2000,27.265
Finland,Nitrate,2010,1.99
Finland,Ammonium,2012,0.0032
Romania,Ammonium,2007,0.232
Hungary,Ammonium,2000,0.6749
Romania,Nitrite,2006,0.074
Belgium,Nitrite,2006,0.0055
Finland,Dissolved oxygen,2010,6.9
Romania,Dissolved oxygen,2007,6.803
Romania,Dissolved oxygen,2009,6.667
Spain,Nitrate,2006,4.0
Turkey,Nitrate,2009,2.444
Finland,Nitrate,2010,2.55
Finland,Nitrate,2012,3.88
Belgium,Nitrate,2002,23.767
Finland,Nitrate,2011,0.09
Romania,Nitrate,2007,5.079
Belgium,Ammonium,2012,0.0334
Finland,Ammonium,2011,0.009
Finland,Nitrate,2010,0.35
Romania,Nitrate,2007,4.667
Belgium,Nitrate,2004,23.657
Romania,Ammonium,2006,0.853
Romania,Ammonium,2009,0.271
Romania,Ammonium,2010,0.183
Romania,Nitrite,2008,0.02
Romania,Nitrite,2010,0.024
Belgium,Ammonium,2003,0.027
Sweden,Ammonium,2003,0.01
Romania,Ammonium,2007,0.574
Lithuania,Nitrate,2004,0.8
Romania,Nitrate,2009,5.132
Romania,Nitrate,2009,2.443
Romania,Nitrite,2011,0.025
Finland,Dissolved oxygen,2012,5.4
Romania,Nitrite,2007,0.591
Spain,Nitrate,2007,36.5
Italy,Nitrate,2012,4.5
Romania,Nitrite,2006,0.049
Hungary,Nitrite,2004,0.0129
Finland,Dissolved oxygen,2011,5.4
Romania,Ammonium,2011,0.48
Hungary,Ammonium,2005,0.7071
Hungary,Nitrite,2003,0.0154
Spain,Dissolved oxygen,2009,11.3
Turkey,Nitrite,2007,0.0366
Turkey,Dissolved oxygen,2009,7.016
Romania,Ammonium,2009,0.207
Belgium,Ammonium,2002,0.016
Spain,Ammonium,2006,0.032
Spain,Ammonium,2008,0.023
Turkey,Ammonium,2009,0.687
Netherlands,Ammonium,2003,3.11
Belgium,Ammonium,2001,0.01
Belgium,Ammonium,2000,0.014
Netherlands,Ammonium,2001,1.08
Spain,Ammonium,2009,0.129
Lithuania,Nitrate,2005,1.3171
Belgium,Nitrate,2002,24.862
Belgium,Nitrate,2014,46.86
Belgium,Nitrate,2014,56.13
Romania,Nitrate,2008,6.347
Italy,Nitrate,2012,6.0
Belgium,Nitrate,2002,19.173
Romania,Nitrate,2010,4.711
Romania,Nitrate,2011,4.57
Lithuania,Nitrate,2002,1.71
Turkey,Nitrate,2005,7.35
Turkey,Nitrate,2009,32.5
Belgium,Nitrate,2010,11.11
Belgium,Nitrate,2014,66.85
Bulgaria,Nitrate,2000,20.842
Lithuania,Nitrate,2003,3.63
Turkey,Nitrate,2006,23.586
Bulgaria,Nitrate,2001,19.742
Romania,Ammonium,2008,0.377
Romania,Ammonium,2010,0.562
Romania,Ammonium,2010,0.219
Romania,Nitrite,2010,0.027
Hungary,Nitrite,2005,0.0117
Romania,Nitrate,2008,5.912
Spain,Nitrate,2012,94.0
Spain,Nitrate,2006,36.5
Romania,Nitrite,2006,0.062
Romania,Nitrite,2008,0.011
Romania,Dissolved oxygen,2006,7.1
Spain,Ammonium,2006,0.032
Romania,Ammonium,2011,0.79
Hungary,Ammonium,2002,0.7003
Netherlands,Ammonium,2008,0.51
Romania,Ammonium,2006,0.337
Romania,Ammonium,2007,0.4
Netherlands,Ammonium,2003,15.27
Spain,Nitrate,2009,3.3
Spain,Nitrate,2003,51.965
Belgium,Nitrate,2001,25.014
Belgium,Nitrate,2014,1.45
Belgium,Nitrate,2014,35.04
Belgium,Ammonium,2010,0.06
Belgium,Ammonium,2001,0.012
Belgium,Nitrate,2014,30.17
Belgium,Nitrate,2014,22.2
Finland,Nitrate,2011,0.08
Netherlands,Nitrate,2001,14.21
Romania,Nitrate,2011,21.69
Romania,Nitrate,2006,9.32
Spain,Nitrate,2009,57.395
Latvia,Nitrate,2001,0.23
Latvia,Nitrate,2003,3.0
Belgium,Ammonium,2013,13.45
Netherlands,Ammonium,2007,10.38
Spain,Nitrate,2012,12.05286
Belgium,Nitrate,2014,18.49
Italy,Ammonium,2012,0.01
Romania,Ammonium,2008,0.223
Latvia,Ammonium,2004,0.37
Netherlands,Ammonium,2000,20.84
Romania,Nitrate,2011,5.052
Finland,Nitrate,2010,2e-05
Spain,Nitrate,2007,103.5
Netherlands,Ammonium,2002,21.83
Italy,Ammonium,2012,0.01
Finland,Ammonium,2002,0.011
Finland,Ammonium,2008,0.0045
Romania,Ammonium,2009,0.657
Finland,Ammonium,2010,0.0013
Turkey,Nitrite,2006,0.0217
Latvia,Dissolved oxygen,2002,0.1
Latvia,Dissolved oxygen,2004,0.048
Spain,Nitrite,2007,0.021
Finland,Ammonium,2007,0.0058
Netherlands,Ammonium,2009,16.4
Spain,Ammonium,2010,0.1912
Spain,Nitrate,2006,40.208
Romania,Nitrate,2009,19.433
Romania,Nitrate,2013,27.014
Spain,Nitrate,2007,53.698
Belgium,Nitrite,2007,0.0175
Finland,Dissolved oxygen,2012,10.0
Finland,Dissolved oxygen,2010,3.65
Romania,Nitrite,2011,0.029
Romania,Dissolved oxygen,2009,3.8
Spain,Ammonium,2012,0.236
Spain,Ammonium,2011,0.079
Finland,Ammonium,2009,0.0052
Netherlands,Ammonium,2000,2.51
Romania,Dissolved oxygen,2011,5.82
Romania,Nitrite,2007,0.031
Romania,Nitrite,2009,0.023
Romania,Nitrite,2008,0.024
Italy,Nitrite,2012,0.005
Belgium,Nitrate,2014,37.42
Belgium,Nitrate,2014,29.04
Spain,Nitrate,2010,17.1412
Belgium,Ammonium,2013,0.32
Spain,Ammonium,2009,0.01
Spain,Ammonium,2007,0.116
Spain,Ammonium,2010,0.023
Netherlands,Ammonium,2008,8.64
Spain,Ammonium,2009,0.141
Netherlands,Ammonium,2001,16.15
Romania,Ammonium,2013,0.034
Spain,Ammonium,2007,0.019
Spain,Ammonium,2009,0.08
Spain,Ammonium,2008,0.013
Belgium,Ammonium,2009,0.0448
Spain,Ammonium,2010,0.023
Spain,Ammonium,2006,0.023
Sweden,Ammonium,2002,0.13
Spain,Ammonium,2009,0.065
Netherlands,Ammonium,2004,24.87
Hungary,Nitrite,2002,0.0161
Romania,Dissolved oxygen,2008,5.054
Romania,Dissolved oxygen,2009,5.954
Italy,Nitrite,2012,0.005
Netherlands,Nitrate,2005,10.35
Netherlands,Nitrate,2003,23.39
Finland,Ammonium,2007,0.0032
Romania,Ammonium,2006,0.1
Sweden,Ammonium,2004,0.135
Belgium,Ammonium,2006,0.0174
Belgium,Ammonium,2001,0.01
Belgium,Ammonium,2001,0.021
Poland,Ammonium,2001,0.3
Spain,Ammonium,2008,0.023
Spain,Ammonium,2004,0.024
Latvia,Ammonium,2003,0.36
Latvia,Ammonium,2005,0.44
Belgium,Ammonium,2011,0.02
Belgium,Ammonium,2010,0.01
Belgium,Ammonium,2012,0.0282
Netherlands,Nitrate,2006,23.14
Belgium,Nitrate,2014,45.11
Belgium,Nitrate,2014,29.17
Belgium,Nitrate,2014,66.4
Latvia,Nitrate,2004,3.0
Finland,Ammonium,2012,0.0052
Spain,Ammonium,2010,0.0363
Spain,Ammonium,2010,0.025
Latvia,Ammonium,2000,0.27
Belgium,Ammonium,2003,0.09
Finland,Ammonium,2002,0.0039
Sweden,Ammonium,2003,0.012
Belgium,Ammonium,2012,0.0316
Belgium,Ammonium,2003,0.038
Finland,Dissolved oxygen,2007,5.98
Spain,Dissolved oxygen,2010,4.9
Spain,Dissolved oxygen,2009,7.9
Netherlands,Nitrate,2001,26.27
Romania,Nitrate,2008,4.176
Romania,Nitrate,2010,21.954
Romania,Nitrate,2011,4.248
Spain,Nitrite,2006,0.01
Spain,Nitrite,2009,0.021
Hungary,Nitrite,2004,0.0189
Belgium,Nitrite,2008,0.01
Spain,Nitrate,2006,4.7
Belgium,Nitrate,2012,26.08
Belgium,Nitrate,2005,18.12
Belgium,Nitrate,2014,32.66
Turkey,Nitrite,2006,0.0583
Romania,Nitrite,2007,0.033
Romania,Dissolved oxygen,2013,6.944
Romania,Nitrite,2013,0.091
Romania,Dissolved oxygen,2014,3.826
Spain,Dissolved oxygen,2007,8.85
Spain,Nitrite,2010,0.005
Romania,Nitrite,2010,0.032
Romania,Dissolved oxygen,2010,6.889
Romania,Dissolved oxygen,2011,5.16
Finland,Dissolved oxygen,2012,6.6
Romania,Nitrite,2009,0.02
Belgium,Ammonium,2003,0.035
Netherlands,Ammonium,2002,2.87
Belgium,Ammonium,2010,0.02
Netherlands,Ammonium,2003,3.26
Belgium,Nitrite,2001,0.007
Romania,Nitrite,2008,0.026
Romania,Dissolved oxygen,2007,4.7
Latvia,Nitrite,2005,0.005
Netherlands,Ammonium,2005,3.51
Netherlands,Ammonium,2012,4.36
Netherlands,Ammonium,2011,1.08
Sweden,Ammonium,2001,0.01
Sweden,Ammonium,2005,0.007
Belgium,Nitrate,2014,33.43
Belgium,Nitrate,2005,12.29
Spain,Nitrate,2004,55.425
Belgium,Ammonium,2003,0.017
Spain,Ammonium,2007,0.103
Spain,Ammonium,2007,0.023
Spain,Dissolved oxygen,2007,8.6
Finland,Nitrite,2011,0.002
Hungary,Nitrite,2005,0.004
Spain,Ammonium,2008,0.062
Spain,Ammonium,2007,0.066
Netherlands,Ammonium,2009,3.89
Hungary,Nitrate,2002,0.1521
Belgium,Nitrate,2012,38.41
Belgium,Nitrate,2011,36.61
Romania,Dissolved oxygen,2008,5.285
Spain,Nitrite,2007,0.005
Spain,Nitrite,2012,8.0076
Spain,Dissolved oxygen,2007,6.2
Spain,Dissolved oxygen,2008,5.167
Romania,Nitrite,2007,0.229
Netherlands,Nitrate,2011,0.03
Spain,Nitrate,2011,29.0
Belgium,Nitrate,2009,11.8604
Belgium,Nitrate,2010,38.46
Sweden,Ammonium,2006,0.103
Spain,Ammonium,2010,0.032
Sweden,Ammonium,2001,0.085
Netherlands,Ammonium,2007,2.4
Netherlands,Ammonium,2004,2.3
Netherlands,Ammonium,2006,0.65
Finland,Ammonium,2010,0.0206
Spain,Dissolved oxygen,2007,7.75
Spain,Nitrite,2009,0.017
Belgium,Nitrite,2010,0.006
Belgium,Nitrite,2003,0.005
Hungary,Nitrite,2004,0.0085
Romania,Dissolved oxygen,2010,4.622
Spain,Nitrite,2008,0.031
Romania,Ammonium,2009,0.945
Romania,Ammonium,2011,0.36
Netherlands,Ammonium,2005,2.52
Belgium,Nitrate,2011,34.61
Belgium,Nitrate,2012,12.29
Netherlands,Nitrate,2000,1.33
Netherlands,Nitrate,2007,2.45
Belgium,Ammonium,2001,0.012
Latvia,Ammonium,2004,0.41
Spain,Ammonium,2008,0.17
Spain,Nitrate,2011,0.5
Netherlands,Nitrate,2000,25.33
Netherlands,Nitrate,2002,12.65
Belgium,Nitrate,2008,32.654
Netherlands,Nitrate,2008,0.66
Finland,Nitrate,2012,0.14
Finland,Nitrate,2010,0.03
Romania,Nitrate,2006,20.27
Spain,Nitrite,2011,0.025
Belgium,Nitrite,2006,0.0089
Spain,Nitrite,2008,0.005
Poland,Ammonium,2002,0.355
Poland,Ammonium,2003,0.35
Belgium,Ammonium,2010,0.01
Latvia,Nitrite,2002,0.005
Belgium,Nitrite,2007,0.0164
Latvia,Dissolved oxygen,2005,0.18
Belgium,Nitrite,2001,0.008
Latvia,Nitrate,2003,0.024
Latvia,Nitrate,2005,0.61
Belgium,Ammonium,2009,0.0107
Belgium,Ammonium,2008,0.013
Belgium,Ammonium,2007,0.0261
Latvia,Ammonium,2002,0.33
Latvia,Ammonium,2003,0.37
Netherlands,Nitrate,2003,0.66
Netherlands,Nitrate,2005,0.77
Belgium,Nitrate,2005,11.71
Latvia,Nitrate,2000,0.16
Latvia,Nitrate,2001,0.08
Finland,Nitrate,2011,0.82
Latvia,Dissolved oxygen,2001,0.05
Latvia,Nitrate,2005,3.58
Belgium,Nitrate,2007,39.6461
Netherlands,Nitrate,2004,0.66
Netherlands,Nitrate,2006,0.66
Spain,Nitrate,2010,51.03
Belgium,Nitrate,2003,30.3
Netherlands,Nitrate,2010,0.03
Latvia,Nitrite,2005,0.005
Spain,Nitrite,2012,0.03
Spain,Nitrite,2007,0.009
Poland,Nitrate,2000,13.15
Netherlands,Nitrate,2006,11.52
Netherlands,Nitrate,2004,19.58
Netherlands,Nitrate,2005,10.73
Hungary,Nitrite,2001,0.0079
Latvia,Nitrite,2001,0.01
Latvia,Nitrite,2003,0.004
Hungary,Nitrite,2000,0.0179
Lithuania,Dissolved oxygen,2003,0.6725
Belgium,Nitrite,2001,0.0054
Finland,Dissolved oxygen,2011,9.4
Finland,Dissolved oxygen,2010,11.0
Finland,Dissolved oxygen,2011,5.8
Finland,Dissolved oxygen,2012,5.75
Spain,Dissolved oxygen,2011,7.5615
Belgium,Nitrite,2011,0.01
Hungary,Nitrite,2001,0.0132
Hungary,Nitrite,2003,0.0081
Romania,Nitrite,2008,0.008
Romania,Dissolved oxygen,2011,6.63
Romania,Nitrite,2010,0.028
Hungary,Nitrite,2001,0.0102
Italy,Nitrite,2012,0.005
Hungary,Nitrite,2002,0.0006
Spain,Nitrite,2011,0.023
Latvia,Nitrite,2003,0.004
Belgium,Nitrite,2007,0.0052
Belgium,Nitrite,2004,0.007
Belgium,Nitrite,2006,0.0163
Belgium,Nitrite,2008,0.007
Spain,Dissolved oxygen,2011,4.7
Spain,Dissolved oxygen,2011,1.0
Finland,Nitrite,2010,0.0164
Latvia,Ammonium,2002,0.34
Netherlands,Ammonium,2006,8.64
Spain,Ammonium,2007,0.013
Latvia,Dissolved oxygen,2005,0.17
Belgium,Ammonium,2005,0.02
Spain,Ammonium,2012,0.023
Finland,Ammonium,2010,0.0052
Finland,Ammonium,2010,0.0013
Spain,Nitrite,2006,0.29
Spain,Nitrite,2008,0.021
Spain,Nitrite,2009,0.005
Poland,Ammonium,2000,0.36
Finland,Ammonium,2010,0.4314
Finland,Ammonium,2012,0.0068
Spain,Nitrite,2009,0.005
Turkey,Nitrite,2009,0.024
Latvia,Dissolved oxygen,2003,0.2
Finland,Ammonium,2010,0.0208
Spain,Ammonium,2007,0.124
Turkey,Nitrite,2009,0.02
Belgium,Nitrite,2004,0.012
Spain,Dissolved oxygen,2006,9.6
Spain,Nitrite,2010,0.005
Netherlands,Ammonium,2009,1.35
Finland,Ammonium,2000,0.0024
Sweden,Ammonium,2005,0.101
Belgium,Ammonium,2012,0.0281
Belgium,Ammonium,2009,0.0141
Netherlands,Ammonium,2004,5.09
Spain,Dissolved oxygen,2009,10.62
Spain,Nitrite,2003,0.02
Finland,Dissolved oxygen,2008,6.25
Netherlands,Nitrate,2009,0.72
Lithuania,Nitrate,2001,1.18
Turkey,Nitrate,2009,11.39
Belgium,Ammonium,2008,0.095
Spain,Ammonium,2005,0.023
Spain,Ammonium,2007,0.023
Belgium,Nitrate,2010,26.11
Belgium,Nitrate,2014,28.95
Belgium,Nitrate,2014,56.98
Belgium,Nitrate,2014,2.3
Spain,Nitrate,2006,53.547
Spain,Ammonium,2007,0.022
Belgium,Ammonium,2002,0.01
Poland,Ammonium,2001,0.4
Poland,Nitrate,2003,12.53
Poland,Ammonium,2000,0.38
Belgium,Ammonium,2000,0.15
Finland,Ammonium,2011,0.115
Belgium,Ammonium,2010,0.01
Italy,Ammonium,2012,0.01
Belgium,Ammonium,2001,0.137
Sweden,Ammonium,2000,0.103
Netherlands,Ammonium,2002,0.75
Spain,Ammonium,2008,0.155
Spain,Ammonium,2009,0.18
Latvia,Nitrate,2002,0.04
Belgium,Nitrate,2001,34.198
Belgium,Nitrate,2008,39.868
Belgium,Nitrate,2006,46.2652
Netherlands,Nitrate,2008,17.74
Finland,Nitrate,2010,3.67
Bulgaria,Ammonium,2003,0.009
Finland,Ammonium,2003,0.0052
Finland,Ammonium,2011,0.002
Latvia,Dissolved oxygen,2004,0.3
Turkey,Nitrite,2009,0.026
Spain,Nitrite,2010,0.0281
Bulgaria,Ammonium,2001,0.079
Romania,Ammonium,2014,0.118
Spain,Dissolved oxygen,2009,5.95
Spain,Nitrite,2012,0.11981
Belgium,Nitrite,2011,0.01
Hungary,Nitrite,2005,0.0068
Belgium,Nitrate,2007,14.9758
Belgium,Nitrate,2000,9.919
Poland,Nitrate,2001,11.63
Spain,Ammonium,2004,0.065
Romania,Ammonium,2014,0.265
Finland,Ammonium,2007,0.0013
Finland,Ammonium,2008,0.0052
Slovakia,Ammonium,2000,0.1062
Slovakia,Ammonium,2000,0.17
Spain,Ammonium,2006,0.129
Italy,Ammonium,2012,0.01
Belgium,Ammonium,2008,0.013
Finland,Ammonium,2010,0.0064
Belgium,Ammonium,2008,0.012
Spain,Ammonium,2010,0.025
Finland,Ammonium,2001,0.0023
Finland,Ammonium,2011,0.004
Finland,Ammonium,2011,0.018
Netherlands,Ammonium,2005,17.02
Romania,Ammonium,2014,0.188
Spain,Ammonium,2008,0.173
Italy,Ammonium,2012,0.01
Latvia,Ammonium,2001,0.19
Belgium,Ammonium,2011,0.02
Bulgaria,Ammonium,2001,0.013
Finland,Nitrate,2009,0.01
Finland,Nitrate,2011,0.01
Belgium,Nitrate,2012,10.44
Netherlands,Nitrate,2002,7.4
Turkey,Nitrate,2006,12.905
Turkey,Nitrate,2009,27.351
Belgium,Nitrate,2008,11.588
Belgium,Nitrate,2010,11.6
Finland,Nitrate,2012,0.06
Turkey,Nitrate,2007,40.7975
Belgium,Nitrate,2011,15.59
Finland,Nitrate,2010,9.3
Hungary,Nitrite,2000,0.0012
Finland,Dissolved oxygen,2012,3.7
Lithuania,Nitrate,2000,0.37
Turkey,Nitrate,2007,8.9
