Species,HabitatType,status,StartLatitude,StartLongitude,DepthLower,Weight_kg,Number
Porifera,Unknown,,70.8914991666667,19.9074391666667,894.625,0.0,12.0
Polymastia hemisphaerica,Unknown,,70.8914991666667,19.9074391666667,368.08,0.0,1.0
Stylocordyla borealis,Unknown,,70.8914991666667,19.9074391666667,1200.0,0.0,9.0
Porifera,Unknown,,70.8914991666667,19.9074391666667,894.625,3.0,1.0
Polymastiidae,Unknown,,70.8914991666667,19.9074391666667,435.0,0.0,16.0
Polymastia hemisphaerica,Unknown,,70.8914991666667,19.9074391666667,368.08,0.0,14.0
Polymastia thielei,Unknown,,71.0307908333333,21.6399625,294.45,0.0,2.0
Porifera,Unknown,,71.0307908333333,21.6399625,894.625,0.0,2.0
Axinellida,Unknown,,71.0929941666667,23.25938,435.0,0.0,2.0
Haplosclerida,Unknown,,71.0929941666667,23.25938,435.0,0.0,0.0
Stylocordyla borealis,Unknown,,71.1942208333333,25.05944,1200.0,0.0,0.0
Polymastia hemisphaerica,Unknown,,71.1942208333333,25.05944,368.08,0.0,5.0
Polymastia grimaldii,Unknown,,71.1942208333333,25.05944,284.28999999999996,0.0,3.0
Porifera,Unknown,,71.2203825,27.0067525,894.625,0.0,3.0
Polymastiidae,Unknown,,71.2203825,27.0067525,435.0,0.0,2.0
Polymastia hemisphaerica,Unknown,,71.2203825,27.0067525,368.08,0.0,6.0
Polymastia thielei,Unknown,,71.2203825,27.0067525,294.45,0.0,2.0
Thenea,Unknown,,71.2203825,27.0067525,285.05,0.0,26.0
Porifera,Unknown,,71.2393941666667,28.8619641666667,894.625,0.0,0.0
Polymastia hemisphaerica,Unknown,,71.2477833333333,30.5127141666667,368.08,0.0,37.0
Geodia barretti,Unknown,,71.2477833333333,30.5127141666667,304.55,0.0,19.0
Polymastia hemisphaerica,Unknown,,71.2477833333333,30.5127141666667,368.08,0.0,0.0
Tethyidae,Unknown,,70.6539908333333,30.6191908333333,435.0,0.0,28.0
Porifera,Unknown,,70.6539908333333,30.6191908333333,894.625,0.0,1.0
Polymastia hemisphaerica,Unknown,,70.6539908333333,30.6191908333333,368.08,0.0,2.0
Geodia,Unknown,,70.6539908333333,30.6191908333333,933.0,0.0,1.0
Geodia barretti,Unknown,,70.6834275,32.3050166666667,304.55,0.0,1.0
Geodia macandrewii,Unknown,,70.6834275,32.3050166666667,326.79,0.0,1.0
Thenea,Unknown,,70.6834275,32.3050166666667,285.05,0.0,345.0
Porifera,Unknown,,71.2922925,32.3638283333333,894.625,0.0,8.0
Axinellida,Unknown,,71.8473483333333,32.380085,435.0,0.0,2.0
Coelosphaeridae,Unknown,,71.8734925,30.4890525,435.0,0.0,0.0
Geodia,Unknown,,71.8271575,28.7566816666667,933.0,0.0,1.0
Thenea,Unknown,,71.8271575,28.7566816666667,285.05,1.0,57.0
Porifera,Unknown,,71.8271575,28.7566816666667,894.625,0.0,1.0
Leucosolenida,Unknown,,71.8271575,28.7566816666667,435.0,0.0,4.0
Axinellida,Unknown,,71.8271575,28.7566816666667,435.0,0.0,2.0
Geodia,Unknown,,71.790455,26.72657,933.0,0.0,2.0
Geodia,Unknown,,71.7678966666667,24.9531833333333,933.0,12.0,2.0
Geodia barretti,Unknown,,71.6732808333333,22.9650116666667,304.55,0.0,20.0
Geodia macandrewii,Unknown,,71.6732808333333,22.9650116666667,326.79,0.0,2.0
Thenea,Unknown,,71.6732808333333,22.9650116666667,285.05,0.0,0.0
Porifera,Unknown,,71.5901858333333,21.3213358333333,894.625,0.0,16.0
Axinellida,Unknown,,71.5901858333333,21.3213358333333,435.0,18.0,68.0
Coelosphaeridae,Unknown,,71.5901858333333,21.3213358333333,435.0,562.0,161.0
Polymastiidae,Unknown,,71.5901858333333,21.3213358333333,435.0,62.0,17.0
Geodia,Unknown,,71.5901858333333,21.3213358333333,933.0,27.0,1520.0
Geodia barretti,Unknown,,71.5901858333333,21.3213358333333,304.55,15.0,730.0
Geodia macandrewii,Unknown,,71.49675,19.4272733333333,326.79,0.0,21.0
Thenea,Unknown,,71.49675,19.4272733333333,285.05,0.0,85.0
