Country,Year,Average Oxygen Demand (mg/L),Average Oxidized Nitrogen (mg/L)
Argentina,2011,14.0,1.865
Argentina,2012,3.625,1.92875
Argentina,2013,8.875,1.645
Argentina,2021,9.0,0.6574427425237054
Austria,2014,2.0376708860759494,3.376383121735209
Austria,2017,2.475,1.3159159514257557
Austria,2021,1.213720238095238,1.1715438317590858
Belgium,2013,15.338392434988181,1.8688082959641257
Belgium,2014,18.248337837837838,1.7404879385964913
Belgium,2015,18.228374816983894,1.7644712765957447
Belgium,2016,16.041923076923077,1.9332676501580612
Belgium,2017,15.747077625570777,1.7452829989440337
Belgium,2018,15.696199494949495,1.7752469631440162
Belgium,2019,16.125688073394496,1.9046028263414636
Belgium,2020,15.737297668038408,1.907051225473251
Belgium,2021,15.312514757969304,1.9739512348949582
Bulgaria,2013,12.3275,0.410585912
Bulgaria,2014,10.646153846153846,0.41482244143999997
Bulgaria,2015,9.57826923076923,0.60752570477
Bulgaria,2016,10.511176470588236,0.55052248682
Bulgaria,2017,10.855294117647059,0.5040116374
Bulgaria,2018,11.2659375,0.5032869307500001
Bulgaria,2019,10.415909090909091,0.475721078765
Bulgaria,2020,8.674615384615384,0.43285865713529414
Canada,2015,4.45,0.1907995420583273
Canada,2016,4.094117647058823,0.18714850557244175
Canada,2017,7.616216216216216,0.19995251256281407
Canada,2018,5.644444444444444,0.18171423348132673
Canada,2019,5.9399999999999995,0.16807557312252963
Croatia,2013,6.326722846441948,0.5885122269698675
Croatia,2014,3.6418724409448817,0.519986851756404
Croatia,2015,3.012723076923077,0.10748787040216902
Croatia,2016,2.9133556149732622,0.08345541269784557
Croatia,2017,3.0700136239782014,0.022022485557532785
Croatia,2018,2.9204411764705887,0.024047645773629032
Croatia,2019,3.3106880733944957,0.420117989596497
Croatia,2021,4.5291015625,0.3672388579704961
Estonia,2013,9.707692307692307,0.1340197361076923
Estonia,2014,9.41547619047619,0.12397294644444445
Estonia,2015,9.799999999999999,0.17283279616666666
Estonia,2016,11.366964285714285,0.9453478681446846
Estonia,2017,10.243564356435643,0.58801
Estonia,2018,9.102884615384616,0.5324903480955883
Estonia,2019,13.304347826086957,0.601513952527902
Estonia,2020,16.360869565217392,0.7267260108097353
Estonia,2021,9.913461538461538,0.8000289946064706
Finland,2013,15.85006329113924,0.2225887037037037
Finland,2014,15.014147909967845,0.21965603575018292
Finland,2015,17.238867924528304,0.29677119850187267
Finland,2016,17.05603448275862,0.1977311203319502
Finland,2017,15.6056,0.19432507480314962
Finland,2018,15.060769230769232,0.20412020490784313
Finland,2019,14.602222222222222,0.2247671102661597
Finland,2020,16.716968325791854,0.20173258928571428
Finland,2021,17.147426470588236,0.2369100371747212
France,2013,4.874360068259386,2.3663806890569745
France,2014,7.262885662431942,2.22218774082356
France,2015,7.789086294416244,1.9583789863056915
Greece,2012,3.6669871711339326,0.6765643369340976
Greece,2013,3.727145744238787,12.50170398003688
Greece,2015,2.664078946134314,13.240370359163487
Greece,2018,7.3668918805616395,16.05668423982963
Greece,2019,7.437992843889419,17.647283321349775
Greece,2020,0.9999999880790718,26.332821629769978
India,1980,3.11,0.06731379340659341
India,1981,3.840727272727273,0.5950156843156843
India,1982,6.781527777777778,0.20972765825242717
India,1983,5.995138888888889,0.09949888751926039
India,1984,5.68,0.1049800102406554
India,1985,12.407894736842104,0.06818403846153846
India,1986,3.8736363636363635,0.10382789855072463
India,1987,16.055306748466258,0.09489769404820463
India,1988,14.88340625,0.31591638952
India,1989,13.752932659932661,0.4895669405273834
India,1990,9.322659021406729,0.41061792760136784
India,1991,5.117426710097719,0.3885351827269386
India,1992,3.303705263157895,0.45641880318058387
India,1993,6.330600358422939,0.5481139085785848
India,1994,6.095113675213676,0.7781059636200984
India,1995,11.840915378356387,1.0050961180005462
India,1996,3.5771174275618374,1.235967062302297
India,1997,4.10564489003881,1.1299566820905922
India,1998,3.350494642857143,0.9828953598912304
India,1999,3.5488654088050313,0.6229390468108403
India,2000,3.6010879629629633,0.6098418248154046
India,2001,4.213269657258064,0.5357816545547595
India,2002,5.034542491268917,0.5332176617336153
India,2003,4.715970217640321,0.6737036712277413
India,2004,5.812219785575048,0.5356552751767321
India,2005,8.12411499272198,0.6732640337624917
India,2006,7.792989054726368,0.8741945249835634
India,2007,10.365183654297791,1.2794682960824046
India,2008,11.042174245835211,1.3990138135411592
India,2009,12.231545675020211,1.517958978839705
India,2010,12.155222804532578,1.3581301122709426
India,2011,10.398000993377483,1.468113044591029
India,2012,11.88089012979173,1.9821452533619457
