ISO3,Country,Area,Indicator,Value Text,Count,Share (%)
SRB,Serbia,Urban,ATH09,Fully,86,34.7
SYC,Seychelles,Urban,ATH09,No,62,25.0
SLE,Sierra Leone,Urban,ATH09,No,62,25.0
SLB,Solomon Islands,Urban,ATH09,Partially,81,32.7
SOM,Somalia,Urban,ATH09,No,62,25.0
ZAF,South Africa,Urban,ATH09,Fully,86,34.7
SSD,South Sudan,Urban,ATH09,Partially,81,32.7
LKA,Sri Lanka,Urban,ATH09,Partially,81,32.7
SDN,Sudan,Urban,ATH09,Partially,81,32.7
SYR,Syrian Arab Republic,Urban,ATH09,Fully,86,34.7
TJK,Tajikistan,Urban,ATH09,No,62,25.0
THA,Thailand,Urban,ATH09,Fully,86,34.7
TLS,Timor-Leste,Urban,ATH09,Fully,86,34.7
TGO,Togo,Urban,ATH09,Partially,81,32.7
TTO,Trinidad and Tobago,Urban,ATH09,Partially,81,32.7
TUN,Tunisia,Urban,ATH09,Partially,81,32.7
TKM,Turkmenistan,Urban,ATH09,Fully,86,34.7
TUV,Tuvalu,Urban,ATH09,Partially,81,32.7
UGA,Uganda,Urban,ATH09,Fully,86,34.7
UKR,Ukraine,Urban,ATH09,No,62,25.0
TZA,United Republic of Tanzania,Urban,ATH09,Fully,86,34.7
URY,Uruguay,Urban,ATH09,No,62,25.0
UZB,Uzbekistan,Urban,ATH09,Fully,86,34.7
VNM,Viet Nam,Urban,ATH09,Fully,86,34.7
YEM,Yemen,Urban,ATH09,Partially,81,32.7
ZMB,Zambia,Urban,ATH09,Fully,86,34.7
ZWE,Zimbabwe,Urban,ATH09,No,62,25.0
ALB,Albania,Rural,ATH09,No,84,33.9
AGO,Angola,Rural,ATH09,No,84,33.9
ARG,Argentina,Rural,ATH09,No,84,33.9
AZE,Azerbaijan,Rural,ATH09,Fully,58,23.4
BHR,Bahrain,Rural,ATH09,Fully,58,23.4
BGD,Bangladesh,Rural,ATH09,No response,28,11.3
BRB,Barbados,Rural,ATH09,Partially,78,31.5
BLR,Belarus,Rural,ATH09,Fully,58,23.4
BLZ,Belize,Rural,ATH09,No,84,33.9
BEN,Benin,Rural,ATH09,No,84,33.9
BTN,Bhutan,Rural,ATH09,No,84,33.9
BOL,Bolivia (Plurinational State of),Rural,ATH09,No response,28,11.3
BIH,Bosnia and Herzegovina,Rural,ATH09,No response,28,11.3
BWA,Botswana,Rural,ATH09,No response,28,11.3
BRA,Brazil,Rural,ATH09,No,84,33.9
VGB,British Virgin Islands,Rural,ATH09,No,84,33.9
BFA,Burkina Faso,Rural,ATH09,No,84,33.9
BDI,Burundi,Rural,ATH09,No,84,33.9
CPV,Cabo Verde,Rural,ATH09,Fully,58,23.4
KHM,Cambodia,Rural,ATH09,No response,28,11.3
CMR,Cameroon,Rural,ATH09,Fully,58,23.4
CAF,Central African Republic,Rural,ATH09,Partially,78,31.5
TCD,Chad,Rural,ATH09,Partially,78,31.5
CHL,Chile,Rural,ATH09,No,84,33.9
CHN,China,Rural,ATH09,Partially,78,31.5
COL,Colombia,Rural,ATH09,Fully,58,23.4
COM,Comoros,Rural,ATH09,No,84,33.9
COG,Congo,Rural,ATH09,Partially,78,31.5
CRI,Costa Rica,Rural,ATH09,Fully,58,23.4
CIV,Côte d'Ivoire,Rural,ATH09,No response,28,11.3
HRV,Croatia,Rural,ATH09,Fully,58,23.4
CUB,Cuba,Rural,ATH09,No,84,33.9
COD,Democratic Republic of the Congo,Rural,ATH09,No,84,33.9
DOM,Dominican Republic,Rural,ATH09,No response,28,11.3
ECU,Ecuador,Rural,ATH09,Fully,58,23.4
EGY,Egypt,Rural,ATH09,Partially,78,31.5
SLV,El Salvador,Rural,ATH09,No,84,33.9
ERI,Eritrea,Rural,ATH09,Partially,78,31.5
EST,Estonia,Rural,ATH09,Fully,58,23.4
ETH,Ethiopia,Rural,ATH09,Partially,78,31.5
FJI,Fiji,Rural,ATH09,Partially,78,31.5
GAB,Gabon,Rural,ATH09,No,84,33.9
GMB,Gambia,Rural,ATH09,No,84,33.9
GEO,Georgia,Rural,ATH09,Partially,78,31.5
GHA,Ghana,Rural,ATH09,No response,28,11.3
GRC,Greece,Rural,ATH09,Fully,58,23.4
GRD,Grenada,Rural,ATH09,No response,28,11.3
GTM,Guatemala,Rural,ATH09,Partially,78,31.5
GIN,Guinea,Rural,ATH09,Partially,78,31.5
GUY,Guyana,Rural,ATH09,No,84,33.9
HTI,Haiti,Rural,ATH09,No,84,33.9
HND,Honduras,Rural,ATH09,Fully,58,23.4
