ISO3,Country,Area,Indicator,Value Text,Count,Share (%)
TTO,Trinidad and Tobago,Rural,ATH10,No,84,33.9
TUN,Tunisia,Rural,ATH10,Partially,78,31.5
TKM,Turkmenistan,Rural,ATH10,Fully,58,23.4
TUV,Tuvalu,Rural,ATH10,Partially,78,31.5
UGA,Uganda,Rural,ATH10,Fully,58,23.4
UKR,Ukraine,Rural,ATH10,Partially,78,31.5
TZA,United Republic of Tanzania,Rural,ATH10,Partially,78,31.5
URY,Uruguay,Rural,ATH10,No,84,33.9
UZB,Uzbekistan,Rural,ATH10,Fully,58,23.4
VNM,Viet Nam,Rural,ATH10,Partially,78,31.5
YEM,Yemen,Rural,ATH10,No,84,33.9
ZMB,Zambia,Rural,ATH10,Partially,78,31.5
ZWE,Zimbabwe,Rural,ATH10,No,84,33.9
